AL012000,            UNNAMED,      4,
20000809, 1800,  , TS, 23.4N,  51.3W,  60,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000810, 0000,  , HU, 24.8N,  52.6W,  65,  988, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000810, 0600,  , HU, 26.1N,  54.0W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000810, 1200,  , HU, 27.5N,  55.3W,  65,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000810, 1800,  , HU, 28.8N,  56.7W,  65,  984, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000811, 0000,  , HU, 29.9N,  57.7W,  70,  982, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000811, 0600,  , HU, 31.1N,  58.4W,  75,  979, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000811, 1200,  , HU, 32.2N,  58.6W,  80,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000811, 1800,  , HU, 33.3N,  58.5W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000812, 0000,  , HU, 34.3N,  58.0W,  90,  970, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000812, 0600,  , HU, 35.1N,  56.7W, 100,  960, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000812, 1200,  , HU, 35.9N,  55.3W, 110,  950, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000812, 1800,  , HU, 36.8N,  53.8W, 110,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000813, 0000,  , HU, 37.4N,  52.0W, 105,  958, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000813, 0600,  , HU, 38.0N,  50.3W,  95,  966, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000813, 1200,  , HU, 38.4N,  48.3W,  85,  973, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000813, 1800,  , HU, 38.8N,  46.3W,  75,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000814, 0000,  , HU, 39.0N,  44.2W,  65,  987, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000814, 0600,  , TS, 39.1N,  42.2W,  60,  991, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000814, 1200,  , TS, 39.1N,  40.6W,  55,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000814, 1800,  , TS, 39.1N,  39.3W,  50,  997, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000815, 0000,  , TS, 38.9N,  38.5W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000815, 0600,  , TS, 38.3N,  38.5W,  45, 1001, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000815, 1200,  , TS, 37.3N,  38.5W,  45, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
20000815, 1800,  , TS, 36.6N,  38.9W,  40, 1002, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,
